,1. open,2. high,3. low,4. close,5. volume
2023-07-21,3.12,3.15,2.895,2.99,642392
2023-07-20,2.88,3.11,2.83,3.08,686769
2023-07-19,2.9,2.965,2.77,2.89,882058
2023-07-18,2.73,2.98,2.73,2.89,768052
2023-07-17,2.6,2.75,2.54,2.73,917681
2023-07-14,2.71,2.73,2.58,2.6,851392
2023-07-13,2.81,2.845,2.73,2.76,970564
2023-07-12,2.81,2.84,2.73,2.76,615830
2023-07-11,2.7,2.8,2.62,2.75,643252
2023-07-10,2.88,2.92,2.64,2.65,1300365
2023-07-07,2.46,2.87,2.46,2.86,1655618
2023-07-06,2.41,2.48,2.23,2.47,920120
2023-07-05,2.45,2.51,2.38,2.46,835795
2023-07-03,2.48,2.64,2.45,2.45,622626
2023-06-30,2.44,2.51,2.39,2.44,1194764
2023-06-29,2.51,2.6,2.33,2.41,3388392
2023-06-28,2.37,2.59,2.37,2.52,2239525
2023-06-27,2.17,2.4491,2.11,2.41,3049687
2023-06-26,1.95,2.21,1.91,2.21,2588790
